Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Bathroom
24/06/2022,1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,1
29/06/2022,2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,1
12/05/2022,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,2
26/06/2022,1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,1
30/04/2022,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,1
27/05/2022,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,1
06/06/2022,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,2
20/05/2022,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,1
02/07/2022,2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,2
26/05/2022,3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,2
12/05/2022,3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,2
22/06/2022,1,7500,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,1
25/06/2022,1,7500,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,1
03/07/2022,2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,1
23/04/2022,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,2
14/05/2022,2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,1
27/05/2022,1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,1
19/06/2022,2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,1
19/06/2022,2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,2
02/07/2022,2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,2
06/07/2022,2,8500,720,4 out of 4,Carpet Area,,Kolkata,Semi-Furnished,2
02/07/2022,1,5000,300,1 out of 3,Carpet Area,,Kolkata,Unfurnished,1
21/06/2022,3,30000,1200,Ground out of 2,Carpet Area,,Kolkata,Unfurnished,3
04/06/2022,2,10000,700,7 out of 8,Carpet Area,,Kolkata,Unfurnished,2
24/06/2022,3,30000,2000,1 out of 3,Super Area,,Kolkata,Semi-Furnished,2
14/05/2022,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,1
26/06/2022,2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,1
02/07/2022,1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,1
05/05/2022,2,7500,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,1
18/05/2022,2,6500,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,1
07/06/2022,1,7500,680,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,1
07/06/2022,1,7500,680,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,1
26/06/2022,2,16000,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1
26/06/2022,2,16000,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1
30/05/2022,2,6500,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,1
22/05/2022,3,40000,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,2
18/06/2022,2,12500,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,2
08/06/2022,2,5500,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,1
25/06/2022,1,5000,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,1
03/05/2022,2,6500,700,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,1
12/05/2022,1,8000,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,1
01/06/2022,3,14500,1800,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,2
23/05/2022,1,8200,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1
23/05/2022,2,15000,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,2
21/06/2022,6,20000,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,2
22/06/2022,2,6700,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,1
27/05/2022,1,10000,435,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,1
07/05/2022,2,7000,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,2
25/06/2022,2,22000,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,1
27/06/2022,2,6500,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,1
31/05/2022,2,8500,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,1
03/06/2022,2,18000,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,2
27/06/2022,2,12000,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,2
15/05/2022,1,9000,600,2 out of 4,Super Area,Behala,Kolkata,Furnished,1
09/06/2022,1,6000,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,1
28/04/2022,2,,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,2
23/05/2022,1,,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1
28/06/2022,2,12000,1200,1 out of 3,Super Area,Boral,Kolkata,Furnished,2
23/06/2022,2,10000,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1
29/04/2022,4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,2
