semester,sex,course_grade
2003-1,Woman,59.5549
2003-1,Woman,65.2202
2003-1,Woman,72.367
2003-1,Man,74.112
2003-1,Man,70.4423
2003-1,Man,46.7231
2003-1,Man,69.103
2003-1,Man,53.9348
2003-1,Man,68.5149
2003-1,Man,79.881
2003-1,Woman,82.3626
2003-1,Man,48.5152
2003-1,Man,80.3655
2003-1,Woman,80.3527
2003-1,Man,70.3606
2003-1,Man,93.3003
2003-1,Man,61.1081
2003-1,Man,87.6431
2003-1,Man,87.9477
2003-1,Woman,67.9143
2003-1,Man,86.2788
2003-1,Woman,59.8701
2003-1,Man,76.4304
2003-1,Man,56.3211
2003-1,Man,83.2086
2003-1,Man,68.0731
2003-1,Man,70.5416
2003-1,Man,66.1202
2003-1,Woman,90.719
2003-1,Man,77.534
2003-1,Man,74.5553
2003-1,Man,85.5208
2003-1,Woman,83.6959
2003-1,Man,72.1189
2003-1,Man,67.1996
2003-1,Man,66.4035
